<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221208;110000;163.6700000;163.9900000;163.1200000;163.1200000;1341020
GAZP;60;20221208;120000;163.1200000;163.4000000;163.0200000;163.0900000;586860
GAZP;60;20221208;130000;163.1000000;163.5000000;162.7100000;163.0800000;1307730
GAZP;60;20221208;140000;163.0800000;163.2000000;162.8100000;162.9700000;688840
GAZP;60;20221208;150000;162.9800000;163.2000000;162.9300000;163.1000000;639150
GAZP;60;20221208;160000;163.1000000;163.1500000;162.9000000;162.9100000;666940
GAZP;60;20221208;170000;162.9300000;163.1100000;162.8000000;163.0000000;714430
GAZP;60;20221208;180000;163.0000000;163.4700000;162.9800000;163.2700000;844040
GAZP;60;20221208;190000;163.2600000;163.7500000;163.2500000;163.7500000;938800
GAZP;60;20221208;200000;163.4500000;163.7300000;163.3400000;163.4300000;381870
GAZP;60;20221208;210000;163.4000000;163.4400000;163.1000000;163.3400000;213380
GAZP;60;20221208;220000;163.3400000;163.4000000;163.0200000;163.1700000;174340
GAZP;60;20221208;230000;163.1600000;163.2100000;162.9400000;163.0700000;207300
GAZP;60;20221209;000000;163.0700000;163.1400000;162.9900000;163.0000000;131590
GAZP;60;20221209;110000;163.0000000;163.4800000;162.5000000;163.0000000;1594980
GAZP;60;20221209;120000;163.0000000;163.0000000;162.7500000;162.9600000;417520
GAZP;60;20221209;130000;162.9800000;163.0000000;162.8900000;162.9200000;366060
GAZP;60;20221209;140000;162.9400000;163.0000000;162.8400000;162.9900000;517160
GAZP;60;20221209;150000;162.9900000;163.0000000;162.9500000;162.9600000;540100
GAZP;60;20221209;160000;162.9700000;163.0000000;162.6700000;162.7000000;847030
GAZP;60;20221209;170000;162.6900000;162.9800000;162.4000000;162.7200000;1161460
GAZP;60;20221209;180000;162.7200000;162.9500000;162.7200000;162.9100000;358880
GAZP;60;20221209;190000;162.9200000;163.3500000;162.8700000;163.2900000;1122080
GAZP;60;20221209;200000;163.2900000;163.4000000;162.8900000;163.1200000;487840
GAZP;60;20221209;210000;163.1200000;163.1300000;162.8500000;162.9800000;213200
GAZP;60;20221209;220000;162.9800000;162.9800000;162.7500000;162.7900000;221140
GAZP;60;20221209;230000;162.7900000;162.9500000;162.7100000;162.8700000;210130
GAZP;60;20221210;000000;162.8800000;162.9000000;162.7400000;162.7500000;247320
GAZP;60;20221212;110000;163.2400000;163.8100000;162.0400000;162.3400000;3513640
GAZP;60;20221212;120000;162.3200000;162.3500000;162.0400000;162.2400000;840960
GAZP;60;20221212;130000;162.2400000;162.6800000;162.1600000;162.3500000;1079260
GAZP;60;20221212;140000;162.3500000;162.3600000;161.8500000;162.2700000;2112530
GAZP;60;20221212;150000;162.2700000;162.3900000;162.0700000;162.3900000;591560
GAZP;60;20221212;160000;162.3900000;162.9400000;162.1700000;162.8300000;1053820
GAZP;60;20221212;170000;162.8100000;163.5500000;162.6300000;163.4700000;1320480
GAZP;60;20221212;180000;163.4500000;163.6500000;162.6800000;162.7200000;1281730
GAZP;60;20221212;190000;162.7800000;163.2500000;162.7000000;162.9800000;544690
GAZP;60;20221212;200000;163.0100000;163.0500000;162.7500000;162.7800000;253310
GAZP;60;20221212;210000;162.7800000;162.9500000;162.7800000;162.8300000;112960
GAZP;60;20221212;220000;162.8600000;162.9200000;162.7600000;162.8700000;155260
GAZP;60;20221212;230000;162.8500000;163.2800000;162.8000000;163.0200000;160180
GAZP;60;20221213;000000;163.0200000;163.1600000;162.8800000;162.8900000;113370
GAZP;60;20221213;110000;162.9800000;163.4400000;162.6200000;162.8200000;1206460
GAZP;60;20221213;120000;162.8200000;163.0000000;162.6600000;163.0000000;651170
GAZP;60;20221213;130000;163.0000000;163.1500000;162.9400000;163.0000000;407390
GAZP;60;20221213;140000;163.0300000;163.0400000;162.1500000;162.6000000;1154480
GAZP;60;20221213;150000;162.6100000;162.7100000;162.1000000;162.1100000;968990
GAZP;60;20221213;160000;162.1100000;162.4900000;162.0100000;162.1900000;729470
GAZP;60;20221213;170000;162.1800000;162.7000000;162.0000000;162.2900000;1133440
GAZP;60;20221213;180000;162.2900000;162.6500000;162.2300000;162.4500000;473540
GAZP;60;20221213;190000;162.4500000;162.8000000;162.3500000;162.8000000;505350
GAZP;60;20221213;200000;162.7700000;162.7800000;162.2100000;162.3800000;277890
GAZP;60;20221213;210000;162.4000000;162.5000000;162.3600000;162.3600000;98200
GAZP;60;20221213;220000;162.3600000;162.4900000;162.2000000;162.2000000;148430
GAZP;60;20221213;230000;162.2400000;162.2900000;162.0000000;162.1400000;410930
GAZP;60;20221214;000000;162.1300000;162.4400000;162.0800000;162.4000000;294380
GAZP;60;20221214;110000;162.2100000;162.3500000;161.0300000;161.2900000;2989690
GAZP;60;20221214;120000;161.2700000;161.5900000;161.1400000;161.5100000;963220
GAZP;60;20221214;130000;161.5000000;162.4900000;161.4000000;161.8400000;2627290
GAZP;60;20221214;140000;161.8400000;161.8500000;161.1000000;161.1900000;856110
GAZP;60;20221214;150000;161.1900000;161.4800000;161.0500000;161.1300000;939950
GAZP;60;20221214;160000;161.1300000;161.2100000;160.7200000;160.9000000;1360710
GAZP;60;20221214;170000;160.9000000;160.9900000;160.6000000;160.6500000;850390
GAZP;60;20221214;180000;160.6200000;160.8300000;160.2500000;160.8300000;1167340
GAZP;60;20221214;190000;160.8200000;161.0000000;160.7500000;160.9700000;739480
GAZP;60;20221214;200000;160.9800000;161.3500000;160.7100000;161.2400000;477940
GAZP;60;20221214;210000;161.2100000;161.2500000;161.0000000;161.0500000;225490
GAZP;60;20221214;220000;161.0600000;161.3400000;161.0200000;161.2200000;154620
GAZP;60;20221214;230000;161.2300000;161.2400000;161.0700000;161.1500000;278570
GAZP;60;20221215;000000;161.1200000;161.1600000;160.7000000;160.7400000;247650
GAZP;60;20221215;110000;160.7500000;160.9400000;159.7000000;159.8900000;2875750
GAZP;60;20221215;120000;159.9000000;160.3300000;159.7000000;159.8500000;1618650
GAZP;60;20221215;130000;159.8500000;159.9300000;159.3000000;159.4400000;1519090
GAZP;60;20221215;140000;159.4400000;160.0700000;159.4200000;159.8900000;1261650
GAZP;60;20221215;150000;159.8600000;159.9000000;159.3500000;159.3500000;1249640
GAZP;60;20221215;160000;159.3600000;159.4100000;158.4000000;158.6700000;3278770
GAZP;60;20221215;170000;158.6700000;158.8200000;157.7200000;158.5300000;2484440
GAZP;60;20221215;180000;158.5300000;160.0300000;158.4100000;159.5800000;2150190
GAZP;60;20221215;190000;159.5600000;161.2500000;159.5400000;160.7400000;3823260
GAZP;60;20221215;200000;160.7800000;161.2000000;160.5000000;160.5400000;774580
GAZP;60;20221215;210000;160.5400000;161.0000000;160.5000000;160.7500000;253440
GAZP;60;20221215;220000;160.7200000;160.7600000;160.5600000;160.6800000;125760
GAZP;60;20221215;230000;160.6700000;160.6900000;160.3000000;160.4200000;326540
GAZP;60;20221216;000000;160.4100000;160.6200000;160.3000000;160.3100000;264420
GAZP;60;20221216;110000;160.3000000;161.2400000;159.9500000;161.1500000;1875010
GAZP;60;20221216;120000;161.1500000;162.4800000;161.1500000;161.3100000;2942430
GAZP;60;20221216;130000;161.3000000;162.1000000;161.2700000;161.8400000;1257690
GAZP;60;20221216;140000;161.8400000;161.8500000;160.1200000;160.3100000;1785190
GAZP;60;20221216;150000;160.3000000;160.8000000;160.2600000;160.3000000;853610
GAZP;60;20221216;160000;160.3000000;160.6000000;160.0100000;160.3900000;1033960
GAZP;60;20221216;170000;160.3900000;160.9800000;160.2100000;160.8000000;993280
GAZP;60;20221216;180000;160.8000000;161.0100000;160.4300000;160.7800000;928300
GAZP;60;20221216;190000;160.7700000;161.0900000;160.6000000;160.6100000;625920
GAZP;60;20221216;200000;160.6100000;160.6600000;160.2900000;160.4500000;264160
GAZP;60;20221216;210000;160.4500000;160.4800000;160.1500000;160.2300000;175710
GAZP;60;20221216;220000;160.2200000;160.9400000;160.0100000;160.3500000;561540
GAZP;60;20221216;230000;160.3600000;160.7200000;160.1000000;160.4500000;231550
GAZP;60;20221217;000000;160.5000000;160.5400000;160.2300000;160.2400000;182670
GAZP;60;20221219;110000;159.9100000;160.1200000;158.8900000;159.4100000;2749790
GAZP;60;20221219;120000;159.4100000;159.7000000;158.9000000;158.9200000;1475750
GAZP;60;20221219;130000;158.9200000;159.3100000;158.9200000;159.0100000;1258700
GAZP;60;20221219;140000;159.0200000;159.0300000;158.0000000;158.0200000;2222150
GAZP;60;20221219;150000;158.0200000;158.2100000;157.0000000;157.0100000;3395870
GAZP;60;20221219;160000;157.0200000;157.6000000;157.0000000;157.4500000;1963590
GAZP;60;20221219;170000;157.4500000;158.9200000;157.4000000;158.8600000;2481220
GAZP;60;20221219;180000;158.8800000;158.9200000;158.0700000;158.5000000;993090
GAZP;60;20221219;190000;158.4800000;158.5000000;157.7200000;157.8000000;972100
GAZP;60;20221219;200000;157.7400000;158.2400000;157.5600000;157.9600000;415600
GAZP;60;20221219;210000;157.9900000;158.0000000;157.8000000;157.9600000;297910
GAZP;60;20221219;220000;157.9600000;158.3700000;157.8400000;157.9800000;337240
GAZP;60;20221219;230000;157.9800000;157.9800000;157.5100000;157.7000000;353640
GAZP;60;20221220;000000;157.7000000;157.9600000;157.5600000;157.6100000;357810
GAZP;60;20221220;110000;157.4800000;159.4500000;157.3800000;158.8700000;2981510
GAZP;60;20221220;120000;158.8600000;158.9500000;158.0500000;158.0800000;1593160
GAZP;60;20221220;130000;158.0900000;158.4700000;157.8000000;157.8400000;1693510
GAZP;60;20221220;140000;157.8400000;158.3000000;157.8000000;157.8300000;1276550
GAZP;60;20221220;150000;157.8300000;158.0900000;157.7200000;157.7400000;1450990
GAZP;60;20221220;160000;157.7500000;158.0000000;157.7300000;157.8100000;1214280
GAZP;60;20221220;170000;157.8100000;157.8900000;157.7600000;157.8300000;1102950
GAZP;60;20221220;180000;157.8300000;158.9400000;157.8000000;158.5800000;2291670
GAZP;60;20221220;190000;158.5800000;158.9500000;158.5100000;158.9500000;790020
GAZP;60;20221220;200000;158.9900000;159.2300000;158.3100000;158.4100000;416720
GAZP;60;20221220;210000;158.4100000;158.8000000;158.3500000;158.8000000;168430
GAZP;60;20221220;220000;158.8000000;158.8900000;158.6800000;158.8000000;190510
GAZP;60;20221220;230000;158.8000000;159.0000000;158.7000000;159.0000000;247760
GAZP;60;20221221;000000;158.9900000;159.0000000;158.7000000;158.9400000;222280